FeeID,StudentID,AcademicYear,FeeType,Amount,PaymentStatus,PaymentDate
41,164,2026,Hostel,7500,Partially Paid,2025-06-15
42,168,2024,Exam,10000,Paid,2025-07-16
43,172,2025,Library,12500,Pending,2025-08-17
44,176,2026,Tuition,15000,Partially Paid,2025-09-18
45,180,2024,Hostel,17500,Paid,2025-10-19
46,184,2025,Exam,20000,Pending,2025-11-20
47,188,2026,Library,22500,Partially Paid,2025-12-21
48,192,2024,Tuition,5000,Paid,2025-01-22
49,196,2025,Hostel,7500,Pending,2025-02-23
50,200,2026,Exam,10000,Partially Paid,2025-03-24
51,204,2024,Library,12500,Paid,2025-04-25
52,208,2025,Tuition,15000,Pending,2025-05-26
53,212,2026,Hostel,17500,Partially Paid,2025-06-27
54,216,2024,Exam,20000,Paid,2025-07-01
55,220,2025,Library,22500,Pending,2025-08-02
56,224,2026,Tuition,5000,Partially Paid,2025-09-03
57,228,2024,Hostel,7500,Paid,2025-10-04
58,232,2025,Exam,10000,Pending,2025-11-05
59,236,2026,Library,12500,Partially Paid,2025-12-06
60,240,2024,Tuition,15000,Paid,2025-01-07
61,244,2025,Hostel,17500,Pending,2025-02-08
62,248,2026,Exam,20000,Partially Paid,2025-03-09
63,252,2024,Library,22500,Paid,2025-04-10
64,256,2025,Tuition,5000,Pending,2025-05-11
65,260,2026,Hostel,7500,Partially Paid,2025-06-12
66,264,2024,Exam,10000,Paid,2025-07-13
67,268,2025,Library,12500,Pending,2025-08-14
68,272,2026,Tuition,15000,Partially Paid,2025-09-15
69,276,2024,Hostel,17500,Paid,2025-10-16
70,280,2025,Exam,20000,Pending,2025-11-17
71,284,2026,Library,22500,Partially Paid,2025-12-18
72,288,2024,Tuition,5000,Paid,2025-01-19
73,292,2025,Hostel,7500,Pending,2025-02-20
74,296,2026,Exam,10000,Partially Paid,2025-03-21
75,300,2024,Library,12500,Paid,2025-04-22
76,304,2025,Tuition,15000,Pending,2025-05-23
77,308,2026,Hostel,17500,Partially Paid,2025-06-24
78,312,2024,Exam,20000,Paid,2025-07-25
79,316,2025,Library,22500,Pending,2025-08-26
80,320,2026,Tuition,5000,Partially Paid,2025-09-27
81,324,2024,Hostel,7500,Paid,2025-10-01
82,328,2025,Exam,10000,Pending,2025-11-02
83,332,2026,Library,12500,Partially Paid,2025-12-03
84,336,2024,Tuition,15000,Paid,2025-01-04
85,340,2025,Hostel,17500,Pending,2025-02-05
86,344,2026,Exam,20000,Partially Paid,2025-03-06
87,348,2024,Library,22500,Paid,2025-04-07
88,352,2025,Tuition,5000,Pending,2025-05-08
89,356,2026,Hostel,7500,Partially Paid,2025-06-09
90,360,2024,Exam,10000,Paid,2025-07-10
91,364,2025,Library,12500,Pending,2025-08-11
92,368,2026,Tuition,15000,Partially Paid,2025-09-12
93,372,2024,Hostel,17500,Paid,2025-10-13
94,376,2025,Exam,20000,Pending,2025-11-14
95,380,2026,Library,22500,Partially Paid,2025-12-15
96,384,2024,Tuition,5000,Paid,2025-01-16
97,388,2025,Hostel,7500,Pending,2025-02-17
98,392,2026,Exam,10000,Partially Paid,2025-03-18
99,396,2024,Library,12500,Paid,2025-04-19
100,400,2025,Tuition,15000,Pending,2025-05-20
101,404,2026,Hostel,17500,Partially Paid,2025-06-21
102,408,2024,Exam,20000,Paid,2025-07-22
103,412,2025,Library,22500,Pending,2025-08-23
104,416,2026,Tuition,5000,Partially Paid,2025-09-24
105,420,2024,Hostel,7500,Paid,2025-10-25
106,424,2025,Exam,10000,Pending,2025-11-26
107,428,2026,Library,12500,Partially Paid,2025-12-27
108,432,2024,Tuition,15000,Paid,2025-01-01
109,436,2025,Hostel,17500,Pending,2025-02-02
110,440,2026,Exam,20000,Partially Paid,2025-03-03
111,444,2024,Library,22500,Paid,2025-04-04
112,448,2025,Tuition,5000,Pending,2025-05-05
113,452,2026,Hostel,7500,Partially Paid,2025-06-06
114,456,2024,Exam,10000,Paid,2025-07-07
115,460,2025,Library,12500,Pending,2025-08-08
116,464,2026,Tuition,15000,Partially Paid,2025-09-09
117,468,2024,Hostel,17500,Paid,2025-10-10
118,472,2025,Exam,20000,Pending,2025-11-11
119,476,2026,Library,22500,Partially Paid,2025-12-12
120,480,2024,Tuition,5000,Paid,2025-01-13
121,484,2025,Hostel,7500,Pending,2025-02-14
122,488,2026,Exam,10000,Partially Paid,2025-03-15
123,492,2024,Library,12500,Paid,2025-04-16
124,496,2025,Tuition,15000,Pending,2025-05-17
125,500,2026,Hostel,17500,Partially Paid,2025-06-18
126,4,2024,Exam,20000,Paid,2025-07-19
127,8,2025,Library,22500,Pending,2025-08-20
128,12,2026,Tuition,5000,Partially Paid,2025-09-21
129,16,2024,Hostel,7500,Paid,2025-10-22
130,20,2025,Exam,10000,Pending,2025-11-23
131,24,2026,Library,12500,Partially Paid,2025-12-24
132,28,2024,Tuition,15000,Paid,2025-01-25
133,32,2025,Hostel,17500,Pending,2025-02-26
134,36,2026,Exam,20000,Partially Paid,2025-03-27
135,40,2024,Library,22500,Paid,2025-04-01
136,44,2025,Tuition,5000,Pending,2025-05-02
137,48,2026,Hostel,7500,Partially Paid,2025-06-03
138,52,2024,Exam,10000,Paid,2025-07-04
139,56,2025,Library,12500,Pending,2025-08-05
140,60,2026,Tuition,15000,Partially Paid,2025-09-06
141,64,2024,Hostel,17500,Paid,2025-10-07
142,68,2025,Exam,20000,Pending,2025-11-08
143,72,2026,Library,22500,Partially Paid,2025-12-09
144,76,2024,Tuition,5000,Paid,2025-01-10
145,80,2025,Hostel,7500,Pending,2025-02-11
146,84,2026,Exam,10000,Partially Paid,2025-03-12
147,88,2024,Library,12500,Paid,2025-04-13
148,92,2025,Tuition,15000,Pending,2025-05-14
149,96,2026,Hostel,17500,Partially Paid,2025-06-15
150,100,2024,Exam,20000,Paid,2025-07-16
